ID,RP,SP,RP_journey,SP_task,av_car,av_bus,av_air,av_rail,time_car,cost_car,time_bus,cost_bus,access_bus,time_air,cost_air,access_air,service_air,time_rail,cost_rail,access_rail,service_rail,female,business,income,choice
1,1,0,1,NA,0,0,1,1,0,0,0,0,0,50,80,55,0,140,55,5,0,0,0,46705,4
1,1,0,2,NA,0,0,1,1,0,0,0,0,0,70,80,45,0,170,45,20,0,0,0,46705,4
1,0,1,NA,1,0,0,1,1,0,0,0,0,0,50,50,55,3,170,35,5,2,0,0,46705,4
1,0,1,NA,2,0,0,1,1,0,0,0,0,0,90,65,45,1,120,75,5,3,0,0,46705,4
1,0,1,NA,3,0,0,1,1,0,0,0,0,0,70,110,40,1,155,75,25,2,0,0,46705,4
1,0,1,NA,4,0,0,1,1,0,0,0,0,0,90,80,40,1,170,35,25,2,0,0,46705,4
1,0,1,NA,5,0,0,1,1,0,0,0,0,0,90,80,35,2,130,75,25,2,0,0,46705,3
1,0,1,NA,6,0,0,1,1,0,0,0,0,0,50,95,45,3,170,35,10,2,0,0,46705,4
1,0,1,NA,7,0,0,1,1,0,0,0,0,0,60,110,40,2,120,75,15,3,0,0,46705,4
1,0,1,NA,8,0,0,1,1,0,0,0,0,0,50,95,55,3,140,55,10,1,0,0,46705,4
1,0,1,NA,9,0,0,1,1,0,0,0,0,0,70,110,40,1,140,45,25,3,0,0,46705,4
1,0,1,NA,10,0,0,1,1,0,0,0,0,0,80,65,55,3,120,35,5,1,0,0,46705,4
1,0,1,NA,11,0,0,1,1,0,0,0,0,0,60,80,55,1,130,75,15,3,0,0,46705,4
1,0,1,NA,12,0,0,1,1,0,0,0,0,0,70,110,35,2,170,35,25,3,0,0,46705,4
1,0,1,NA,13,0,0,1,1,0,0,0,0,0,90,65,45,1,140,65,15,2,0,0,46705,4
1,0,1,NA,14,0,0,1,1,0,0,0,0,0,80,50,50,1,140,55,10,3,0,0,46705,4
2,1,0,1,NA,1,1,0,1,345,40,345,30,15,0,0,0,0,130,55,20,0,1,0,50123,2
2,1,0,2,NA,1,1,0,1,345,45,345,25,20,0,0,0,0,130,45,10,0,1,0,50123,2
